"Alkuaika UTC";"Loppuaika UTC";"Sähkönkulutus Suomessa"
"2025-04-29T09:00:00.000Z";"2025-04-29T09:15:00.000Z";"10124.7"
"2025-04-29T10:00:00.000Z";"2025-04-29T10:15:00.000Z";"10075.2"
"2025-04-29T11:00:00.000Z";"2025-04-29T11:15:00.000Z";"9972.3"
"2025-04-29T12:00:00.000Z";"2025-04-29T12:15:00.000Z";"9899.52"
"2025-04-29T13:00:00.000Z";"2025-04-29T13:15:00.000Z";"9758.64"
"2025-04-29T14:00:00.000Z";"2025-04-29T14:15:00.000Z";"9786.24"
"2025-04-29T15:00:00.000Z";"2025-04-29T15:15:00.000Z";"9625.96"
"2025-04-29T16:00:00.000Z";"2025-04-29T16:15:00.000Z";"9456.48"
"2025-04-29T17:00:00.000Z";"2025-04-29T17:15:00.000Z";"9275.64"
"2025-04-29T18:00:00.000Z";"2025-04-29T18:15:00.000Z";"9084.8"
"2025-04-29T19:00:00.000Z";"2025-04-29T19:15:00.000Z";"9397.3"
"2025-04-29T20:00:00.000Z";"2025-04-29T20:15:00.000Z";"9223.43"
"2025-04-29T21:00:00.000Z";"2025-04-29T21:15:00.000Z";"8981.02"
"2025-04-29T22:00:00.000Z";"2025-04-29T22:15:00.000Z";"8817.07"
"2025-04-29T23:00:00.000Z";"2025-04-29T23:15:00.000Z";"8668.02"
"2025-04-30T00:00:00.000Z";"2025-04-30T00:15:00.000Z";"8548.07"
"2025-04-30T01:00:00.000Z";"2025-04-30T01:15:00.000Z";"8724.49"
"2025-04-30T02:00:00.000Z";"2025-04-30T02:15:00.000Z";"8609.16"
"2025-04-30T03:00:00.000Z";"2025-04-30T03:15:00.000Z";"9169.46"
"2025-04-30T04:00:00.000Z";"2025-04-30T04:15:00.000Z";"9365.8"
"2025-04-30T05:00:00.000Z";"2025-04-30T05:15:00.000Z";"9676.71"
"2025-04-30T06:00:00.000Z";"2025-04-30T06:15:00.000Z";"9719.85"
"2025-04-30T07:00:00.000Z";"2025-04-30T07:15:00.000Z";"9573.26"
"2025-04-30T08:00:00.000Z";"2025-04-30T08:15:00.000Z";"9607.43"
"2025-04-30T09:00:00.000Z";"2025-04-30T09:15:00.000Z";"9680.05"
"2025-04-30T10:00:00.000Z";"2025-04-30T10:15:00.000Z";"9552.35"
"2025-04-30T11:00:00.000Z";"2025-04-30T11:15:00.000Z";"9392.48"
"2025-04-30T12:00:00.000Z";"2025-04-30T12:15:00.000Z";"9406.51"
"2025-04-30T13:00:00.000Z";"2025-04-30T13:15:00.000Z";"9326"
"2025-04-30T14:00:00.000Z";"2025-04-30T14:15:00.000Z";"9383.5"
"2025-04-30T15:00:00.000Z";"2025-04-30T15:15:00.000Z";"9428.14"
"2025-04-30T16:00:00.000Z";"2025-04-30T16:15:00.000Z";"9349.36"
"2025-04-30T17:00:00.000Z";"2025-04-30T17:15:00.000Z";"9198.89"
"2025-04-30T18:00:00.000Z";"2025-04-30T18:15:00.000Z";"9040.82"
"2025-04-30T19:00:00.000Z";"2025-04-30T19:15:00.000Z";"9307.96"
"2025-04-30T20:00:00.000Z";"2025-04-30T20:15:00.000Z";"9203.13"
"2025-04-30T21:00:00.000Z";"2025-04-30T21:15:00.000Z";"9025.98"
"2025-04-30T22:00:00.000Z";"2025-04-30T22:15:00.000Z";"9013.02"
"2025-04-30T23:00:00.000Z";"2025-04-30T23:15:00.000Z";"9031.72"
"2025-05-01T00:00:00.000Z";"2025-05-01T00:15:00.000Z";"9077.14"
"2025-05-01T01:00:00.000Z";"2025-05-01T01:15:00.000Z";"9295.92"
"2025-05-01T02:00:00.000Z";"2025-05-01T02:15:00.000Z";"9277.31"
"2025-05-01T03:00:00.000Z";"2025-05-01T03:15:00.000Z";"9396.25"
"2025-05-01T04:00:00.000Z";"2025-05-01T04:15:00.000Z";"9449.52"
"2025-05-01T05:00:00.000Z";"2025-05-01T05:15:00.000Z";"9340.41"
"2025-05-01T06:00:00.000Z";"2025-05-01T06:15:00.000Z";"9464.69"
"2025-05-01T07:00:00.000Z";"2025-05-01T07:15:00.000Z";"9762.92"
"2025-05-01T08:00:00.000Z";"2025-05-01T08:15:00.000Z";"9690.35"
"2025-05-01T09:00:00.000Z";"2025-05-01T09:15:00.000Z";"9586.94"
"2025-05-01T10:00:00.000Z";"2025-05-01T10:15:00.000Z";"9508.11"
"2025-05-01T11:00:00.000Z";"2025-05-01T11:15:00.000Z";"9264.32"
"2025-05-01T12:00:00.000Z";"2025-05-01T12:15:00.000Z";"9213.15"
"2025-05-01T13:00:00.000Z";"2025-05-01T13:15:00.000Z";"9198.73"
"2025-05-01T14:00:00.000Z";"2025-05-01T14:15:00.000Z";"9105.3"
"2025-05-01T15:00:00.000Z";"2025-05-01T15:15:00.000Z";"9236.98"
"2025-05-01T16:00:00.000Z";"2025-05-01T16:15:00.000Z";"9277.91"
"2025-05-01T17:00:00.000Z";"2025-05-01T17:15:00.000Z";"9450.97"
"2025-05-01T18:00:00.000Z";"2025-05-01T18:15:00.000Z";"9310.08"
"2025-05-01T19:00:00.000Z";"2025-05-01T19:15:00.000Z";"9712.64"
"2025-05-01T20:00:00.000Z";"2025-05-01T20:15:00.000Z";"9733.38"
"2025-05-01T21:00:00.000Z";"2025-05-01T21:15:00.000Z";"9484.53"
"2025-05-01T22:00:00.000Z";"2025-05-01T22:15:00.000Z";"9245.82"
"2025-05-01T23:00:00.000Z";"2025-05-01T23:15:00.000Z";"9101.44"
"2025-05-02T00:00:00.000Z";"2025-05-02T00:15:00.000Z";"8998.87"
"2025-05-02T01:00:00.000Z";"2025-05-02T01:15:00.000Z";"8986.49"
"2025-05-02T02:00:00.000Z";"2025-05-02T02:15:00.000Z";"9044.31"
"2025-05-02T03:00:00.000Z";"2025-05-02T03:15:00.000Z";"9419.39"
"2025-05-02T04:00:00.000Z";"2025-05-02T04:15:00.000Z";"9773.51"
"2025-05-02T05:00:00.000Z";"2025-05-02T05:15:00.000Z";"9911.08"
"2025-05-02T06:00:00.000Z";"2025-05-02T06:15:00.000Z";"10034.4"
"2025-05-02T07:00:00.000Z";"2025-05-02T07:15:00.000Z";"9877.39"
"2025-05-02T08:00:00.000Z";"2025-05-02T08:15:00.000Z";"9916.71"
"2025-05-02T09:00:00.000Z";"2025-05-02T09:15:00.000Z";"9883.66"
"2025-05-02T10:00:00.000Z";"2025-05-02T10:15:00.000Z";"9937.78"
"2025-05-02T11:00:00.000Z";"2025-05-02T11:15:00.000Z";"9976.96"
"2025-05-02T12:00:00.000Z";"2025-05-02T12:15:00.000Z";"9927.6"
"2025-05-02T13:00:00.000Z";"2025-05-02T13:15:00.000Z";"10019.6"
"2025-05-02T14:00:00.000Z";"2025-05-02T14:15:00.000Z";"10279.3"
"2025-05-02T15:00:00.000Z";"2025-05-02T15:15:00.000Z";"10103.9"
"2025-05-02T16:00:00.000Z";"2025-05-02T16:15:00.000Z";"10090.8"
"2025-05-02T17:00:00.000Z";"2025-05-02T17:15:00.000Z";"10052.1"
"2025-05-02T18:00:00.000Z";"2025-05-02T18:15:00.000Z";"9725.53"
"2025-05-02T19:00:00.000Z";"2025-05-02T19:15:00.000Z";"9749.5"
"2025-05-02T20:00:00.000Z";"2025-05-02T20:15:00.000Z";"9582.82"
"2025-05-02T21:00:00.000Z";"2025-05-02T21:15:00.000Z";"9243.74"
"2025-05-02T22:00:00.000Z";"2025-05-02T22:15:00.000Z";"8922.69"
"2025-05-02T23:00:00.000Z";"2025-05-02T23:15:00.000Z";"8832.93"
"2025-05-03T00:00:00.000Z";"2025-05-03T00:15:00.000Z";"8791.3"
"2025-05-03T01:00:00.000Z";"2025-05-03T01:15:00.000Z";"8701.7"
"2025-05-03T02:00:00.000Z";"2025-05-03T02:15:00.000Z";"8636.98"
"2025-05-03T03:00:00.000Z";"2025-05-03T03:15:00.000Z";"8912.53"
"2025-05-03T04:00:00.000Z";"2025-05-03T04:15:00.000Z";"8967.59"
"2025-05-03T05:00:00.000Z";"2025-05-03T05:15:00.000Z";"9036.23"
"2025-05-03T06:00:00.000Z";"2025-05-03T06:15:00.000Z";"9260.36"
"2025-05-03T07:00:00.000Z";"2025-05-03T07:15:00.000Z";"9346.8"
"2025-05-03T08:00:00.000Z";"2025-05-03T08:15:00.000Z";"9431.78"
"2025-05-03T09:00:00.000Z";"2025-05-03T09:15:00.000Z";"9435.38"
"2025-05-03T10:00:00.000Z";"2025-05-03T10:15:00.000Z";"9242.2"
"2025-05-03T11:00:00.000Z";"2025-05-03T11:15:00.000Z";"9257.58"
"2025-05-03T12:00:00.000Z";"2025-05-03T12:15:00.000Z";"9316.62"
"2025-05-03T13:00:00.000Z";"2025-05-03T13:15:00.000Z";"9471.11"
"2025-05-03T14:00:00.000Z";"2025-05-03T14:15:00.000Z";"9555.86"
"2025-05-03T15:00:00.000Z";"2025-05-03T15:15:00.000Z";"9648.39"
"2025-05-03T16:00:00.000Z";"2025-05-03T16:15:00.000Z";"9624.75"
"2025-05-03T17:00:00.000Z";"2025-05-03T17:15:00.000Z";"9487.35"
"2025-05-03T18:00:00.000Z";"2025-05-03T18:15:00.000Z";"9127.23"
"2025-05-03T19:00:00.000Z";"2025-05-03T19:15:00.000Z";"9412.7"
"2025-05-03T20:00:00.000Z";"2025-05-03T20:15:00.000Z";"9454.63"
"2025-05-03T21:00:00.000Z";"2025-05-03T21:15:00.000Z";"9189.54"
"2025-05-03T22:00:00.000Z";"2025-05-03T22:15:00.000Z";"9001.19"
"2025-05-03T23:00:00.000Z";"2025-05-03T23:15:00.000Z";"8867.78"
"2025-05-04T00:00:00.000Z";"2025-05-04T00:15:00.000Z";"8767.34"
"2025-05-04T01:00:00.000Z";"2025-05-04T01:15:00.000Z";"8783.26"
"2025-05-04T02:00:00.000Z";"2025-05-04T02:15:00.000Z";"8710.82"
"2025-05-04T03:00:00.000Z";"2025-05-04T03:15:00.000Z";"8955.93"
"2025-05-04T04:00:00.000Z";"2025-05-04T04:15:00.000Z";"8910.45"
"2025-05-04T05:00:00.000Z";"2025-05-04T05:15:00.000Z";"9112.67"
"2025-05-04T06:00:00.000Z";"2025-05-04T06:15:00.000Z";"9224.19"
"2025-05-04T07:00:00.000Z";"2025-05-04T07:15:00.000Z";"9347.67"
"2025-05-04T08:00:00.000Z";"2025-05-04T08:15:00.000Z";"9403.14"
"2025-05-04T09:00:00.000Z";"2025-05-04T09:15:00.000Z";"9520.46"
"2025-05-04T10:00:00.000Z";"2025-05-04T10:15:00.000Z";"9612.89"
"2025-05-04T11:00:00.000Z";"2025-05-04T11:15:00.000Z";"9330.97"
"2025-05-04T12:00:00.000Z";"2025-05-04T12:15:00.000Z";"9457.06"
"2025-05-04T13:00:00.000Z";"2025-05-04T13:15:00.000Z";"9539"
"2025-05-04T14:00:00.000Z";"2025-05-04T14:15:00.000Z";"9658.87"
"2025-05-04T15:00:00.000Z";"2025-05-04T15:15:00.000Z";"9718.99"
"2025-05-04T16:00:00.000Z";"2025-05-04T16:15:00.000Z";"9913.87"
"2025-05-04T17:00:00.000Z";"2025-05-04T17:15:00.000Z";"9779.45"
"2025-05-04T18:00:00.000Z";"2025-05-04T18:15:00.000Z";"9682.78"
"2025-05-04T19:00:00.000Z";"2025-05-04T19:15:00.000Z";"10013.2"
"2025-05-04T20:00:00.000Z";"2025-05-04T20:15:00.000Z";"10101.8"
"2025-05-04T21:00:00.000Z";"2025-05-04T21:15:00.000Z";"9819.08"
"2025-05-04T22:00:00.000Z";"2025-05-04T22:15:00.000Z";"9595.17"
"2025-05-04T23:00:00.000Z";"2025-05-04T23:15:00.000Z";"9333.85"
"2025-05-05T00:00:00.000Z";"2025-05-05T00:15:00.000Z";"9324.16"
"2025-05-05T01:00:00.000Z";"2025-05-05T01:15:00.000Z";"9334.91"
"2025-05-05T02:00:00.000Z";"2025-05-05T02:15:00.000Z";"9292.46"
"2025-05-05T03:00:00.000Z";"2025-05-05T03:15:00.000Z";"9849.56"
"2025-05-05T04:00:00.000Z";"2025-05-05T04:15:00.000Z";"10217.7"
"2025-05-05T05:00:00.000Z";"2025-05-05T05:15:00.000Z";"10159"
"2025-05-05T06:00:00.000Z";"2025-05-05T06:15:00.000Z";"10359.1"
"2025-05-05T07:00:00.000Z";"2025-05-05T07:15:00.000Z";"10245.3"
"2025-05-05T08:00:00.000Z";"2025-05-05T08:15:00.000Z";"10211.8"
"2025-05-05T09:00:00.000Z";"2025-05-05T09:15:00.000Z";"10230.4"
"2025-05-05T10:00:00.000Z";"2025-05-05T10:15:00.000Z";"10016.3"
"2025-05-05T11:00:00.000Z";"2025-05-05T11:15:00.000Z";"9929.55"
"2025-05-05T12:00:00.000Z";"2025-05-05T12:15:00.000Z";"9953.66"
"2025-05-05T13:00:00.000Z";"2025-05-05T13:15:00.000Z";"9866.15"
"2025-05-05T14:00:00.000Z";"2025-05-05T14:15:00.000Z";"9713.46"
"2025-05-05T15:00:00.000Z";"2025-05-05T15:15:00.000Z";"9494.83"
"2025-05-05T16:00:00.000Z";"2025-05-05T16:15:00.000Z";"9423.9"
"2025-05-05T17:00:00.000Z";"2025-05-05T17:15:00.000Z";"9321.72"
"2025-05-05T18:00:00.000Z";"2025-05-05T18:15:00.000Z";"9167.6"
"2025-05-05T19:00:00.000Z";"2025-05-05T19:15:00.000Z";"9400.99"
"2025-05-05T20:00:00.000Z";"2025-05-05T20:15:00.000Z";"9588.33"
"2025-05-05T21:00:00.000Z";"2025-05-05T21:15:00.000Z";"9307.27"
"2025-05-05T22:00:00.000Z";"2025-05-05T22:15:00.000Z";"9197.62"
"2025-05-05T23:00:00.000Z";"2025-05-05T23:15:00.000Z";"9042.01"
"2025-05-06T00:00:00.000Z";"2025-05-06T00:15:00.000Z";"8955.21"
"2025-05-06T01:00:00.000Z";"2025-05-06T01:15:00.000Z";"9003.39"
"2025-05-06T02:00:00.000Z";"2025-05-06T02:15:00.000Z";"9034.37"
"2025-05-06T03:00:00.000Z";"2025-05-06T03:15:00.000Z";"9556"
"2025-05-06T04:00:00.000Z";"2025-05-06T04:15:00.000Z";"9837.99"
"2025-05-06T05:00:00.000Z";"2025-05-06T05:15:00.000Z";"9943.26"
"2025-05-06T06:00:00.000Z";"2025-05-06T06:15:00.000Z";"10147.8"
"2025-05-06T07:00:00.000Z";"2025-05-06T07:15:00.000Z";"10227.2"
"2025-05-06T08:00:00.000Z";"2025-05-06T08:15:00.000Z";"10312.5"