"Alkuaika UTC";"Loppuaika UTC";"Vesivoimatuotanto - reaaliaikatieto"
"2025-05-04T20:03:00.000Z";"2025-05-04T20:06:00.000Z";"1373.8"
"2025-05-04T21:00:00.000Z";"2025-05-04T21:03:00.000Z";"1254.2"
"2025-05-04T22:00:00.000Z";"2025-05-04T22:03:00.000Z";"1329.5"
"2025-05-04T23:00:00.000Z";"2025-05-04T23:03:00.000Z";"1302.5"
"2025-05-05T00:00:00.000Z";"2025-05-05T00:03:00.000Z";"1253.2"
"2025-05-05T01:00:00.000Z";"2025-05-05T01:03:00.000Z";"1345.8"
"2025-05-05T02:00:00.000Z";"2025-05-05T02:03:00.000Z";"1407.5"
"2025-05-05T03:00:00.000Z";"2025-05-05T03:03:00.000Z";"1484.7"
"2025-05-05T04:00:00.000Z";"2025-05-05T04:03:00.000Z";"1658.8"
"2025-05-05T05:00:00.000Z";"2025-05-05T05:03:00.000Z";"1802.7"
"2025-05-05T06:00:00.000Z";"2025-05-05T06:03:00.000Z";"1787.5"
"2025-05-05T07:00:00.000Z";"2025-05-05T07:03:00.000Z";"1616.5"
"2025-05-05T08:00:00.000Z";"2025-05-05T08:03:00.000Z";"1618.8"
"2025-05-05T09:00:00.000Z";"2025-05-05T09:03:00.000Z";"1670.3"
"2025-05-05T10:00:00.000Z";"2025-05-05T10:03:00.000Z";"1601"
"2025-05-05T11:00:00.000Z";"2025-05-05T11:03:00.000Z";"1625.2"
"2025-05-05T12:00:00.000Z";"2025-05-05T12:03:00.000Z";"1609.5"
"2025-05-05T13:00:00.000Z";"2025-05-05T13:03:00.000Z";"1638"
"2025-05-05T14:00:00.000Z";"2025-05-05T14:03:00.000Z";"1907.2"
"2025-05-05T15:00:00.000Z";"2025-05-05T15:03:00.000Z";"1938.5"
"2025-05-05T16:00:00.000Z";"2025-05-05T16:03:00.000Z";"1968.7"
"2025-05-05T17:00:00.000Z";"2025-05-05T17:03:00.000Z";"1949.3"
"2025-05-05T18:00:00.000Z";"2025-05-05T18:03:00.000Z";"1886.8"
"2025-05-05T19:00:00.000Z";"2025-05-05T19:03:00.000Z";"1908.2"